,defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory,def_wyck_names,first_index,compound_name,composition,isbinary,dataset_name
0,V_O,3,0,4.4697,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U,O3,36,NREL_MatDb.0149894,Nb2 Ni4 O9,False,Paper1
1,V_O,5,0,4.711,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U,O5,52,NREL_MatDb.0149894,Nb2 Ni4 O9,False,Paper1
2,V_O,2,0,4.9911,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U,O2,28,NREL_MatDb.0149894,Nb2 Ni4 O9,False,Paper1
3,V_O,4,0,4.9735,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U,O4,44,NREL_MatDb.0149894,Nb2 Ni4 O9,False,Paper1
4,V_O,1,0,4.8417,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U,O1,24,NREL_MatDb.0149894,Nb2 Ni4 O9,False,Paper1
5,V_Ni,1,0,3.5937,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U,Ni1,0,NREL_MatDb.0149894,Nb2 Ni4 O9,False,Paper1
6,V_Ni,2,0,3.7881,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U,Ni2,8,NREL_MatDb.0149894,Nb2 Ni4 O9,False,Paper1
7,V_Nb,1,0,13.6482,,,,,,,Nb2Ni4O9,2.0997,-2.0509,4.968,DFT_PBE_U,Nb1,16,NREL_MatDb.0149894,Nb2 Ni4 O9,False,Paper1
8,V_O,3,0,2.6124,,,,,,,Mn1O2,1.2978,-1.7838,6.83,DFT_PBE_U,O3,8,NREL_MatDb.0125741,Mn1 O2,True,Paper1
9,V_O,2,0,2.248,,,,,,,Mn1O2,1.2978,-1.7838,6.83,DFT_PBE_U,O2,6,NREL_MatDb.0125741,Mn1 O2,True,Paper1
10,V_O,4,0,2.7197,,,,,,,Mn1O2,1.2978,-1.7838,6.83,DFT_PBE_U,O4,10,NREL_MatDb.0125741,Mn1 O2,True,Paper1
11,V_O,1,0,2.0803,,,,,,,Mn1O2,1.2978,-1.7838,6.83,DFT_PBE_U,O1,4,NREL_MatDb.0125741,Mn1 O2,True,Paper1
12,V_Mn,2,0,9.8667,,,,,,,Mn1O2,1.2978,-1.7838,6.83,DFT_PBE_U,Mn2,2,NREL_MatDb.0125741,Mn1 O2,True,Paper1
13,V_Mn,1,0,9.9623,,,,,,,Mn1O2,1.2978,-1.7838,6.83,DFT_PBE_U,Mn1,0,NREL_MatDb.0125741,Mn1 O2,True,Paper1
14,V_O,1,0,1.7236,,,,,,,Co1O2,1.2038,-1.0491,12.557,DFT_PBE_U,O1,1,NREL_MatDb.0187243,Co1 O2,True,Paper1
15,V_Co,1,0,6.9275,,,,,,,Co1O2,1.2038,-1.0491,12.557,DFT_PBE_U,Co1,0,NREL_MatDb.0187243,Co1 O2,True,Paper1
16,V_O,1,0,2.8808,,,,,,,Mn1Ni1O3,1.513,-1.6611,6.907,DFT_PBE_U,O1,4,NREL_MatDb.0012072,Mn1 Ni1 O3,False,Paper1
17,V_Ni,1,0,4.7032,,,,,,,Mn1Ni1O3,1.513,-1.6611,6.907,DFT_PBE_U,Ni1,2,NREL_MatDb.0012072,Mn1 Ni1 O3,False,Paper1
18,V_Mn,1,0,8.73,,,,,,,Mn1Ni1O3,1.513,-1.6611,6.907,DFT_PBE_U,Mn1,0,NREL_MatDb.0012072,Mn1 Ni1 O3,False,Paper1
19,V_O,1,0,6.2195,,,,,,,Al2Co1O4,3.1976,-2.9223,11.407,DFT_PBE_U,O1,6,NREL_MatDb.0009491,Al2 Co1 O4,False,Paper1
20,V_Co,1,0,5.3779,,,,,,,Al2Co1O4,3.1976,-2.9223,11.407,DFT_PBE_U,Co1,4,NREL_MatDb.0009491,Al2 Co1 O4,False,Paper1
